Region,Temperature,Humidity,Rainfall,Soil_Type,Land_Type,pH,Income_Level,Crop
North,20,65,1500,Loamy,Flat,6.5,High,Wheat
North,18,70,1200,Clayey,Hilly,6.0,High,Barley
North,22,60,1600,Sandy,Flat,7.0,Medium,Maize
North,19,62,1100,Loamy,Flat,6.4,Medium,Mustard
North,21,67,1550,Clayey,Undulating,6.6,Medium,Wheat
North,17,68,900,Sandy,Hilly,6.1,Low,Barley
South,28,75,2500,Loamy,Hilly,6.8,Very_High,Rice
South,30,80,2800,Clayey,Flat,7.2,Very_High,Sugarcane
South,26,72,2200,Loamy,Undulating,6.5,High,Coconut
South,29,82,3000,Loamy,Flat,7.0,Very_High,Rice
South,31,85,3200,Clayey,Flat,7.3,Very_High,Sugarcane
South,27,75,2400,Loamy,Hilly,6.9,Very_High,Paddy
East,24,70,2000,Loamy,Flat,6.7,High,Rice
East,25,68,1900,Sandy,Hilly,6.3,Medium,Pulse
East,23,72,2100,Clayey,Undulating,6.9,High,Maize
East,26,71,2050,Loamy,Flat,6.8,High,Rice
East,25,69,1950,Sandy,Flat,6.5,High,Maize
East,22,74,2150,Loamy,Hilly,6.4,Medium,Pulse
West,22,65,1400,Loamy,Hilly,6.4,Medium,Jowar
West,24,62,1500,Sandy,Flat,6.8,Medium,Groundnut
West,20,68,1300,Clayey,Undulating,6.2,Low,Bajra
West,21,64,1450,Clayey,Hilly,6.3,Medium,Peanut
West,23,66,1600,Loamy,Hilly,6.7,Medium,Sugarcane
West,25,63,1550,Sandy,Flat,6.9,Medium,Groundnut
Central,25,70,1800,Loamy,Flat,6.6,High,Soybean
Central,23,68,1700,Sandy,Hilly,6.4,Medium,Maize
Central,26,72,1900,Clayey,Undulating,6.8,High,Cotton
Central,27,73,2000,Sandy,Flat,6.9,High,Cotton
Central,24,71,1800,Clayey,Flat,6.7,Medium,Soybean
Central,22,69,1650,Loamy,Hilly,6.5,Medium,Jowar
Northeast,22,75,2400,Loamy,Hilly,6.3,Medium,Tea
Northeast,20,78,2200,Clayey,Steep,6.1,Low,Ginger
Northeast,24,72,2100,Sandy,Undulating,6.5,Medium,Turmeric
Northeast,25,80,2300,Loamy,Steep,6.2,Medium,Tea
Northeast,23,76,2150,Clayey,Hilly,6.4,Low,Ginger
Northeast,21,74,2050,Sandy,Undulating,6.3,Low,Turmeric
North,15,50,400,Sandy,Flat,6.2,Low,Bajra
North,16,55,500,Loamy,Hilly,6.0,Low,Barley
West,18,60,600,Sandy,Undulating,6.3,Low,Jowar
Central,19,65,700,Loamy,Flat,6.4,Low,Bajra
South,25,70,1400,Loamy,Flat,6.6,Medium,Cotton
East,20,75,1300,Clayey,Hilly,6.5,Low,Pulse
West,26,70,1600,Loamy,Flat,6.8,High,Soybean
North,21,62,800,Sandy,Undulating,6.7,Medium,Pulse
Central,28,75,1950,Loamy,Hilly,6.9,High,Groundnut
East,27,72,1850,Clayey,Flat,6.6,High,Groundnut
